tickers,sector
MMM,Industrials
AOS,Industrials
ABT,Health Care
ABBV,Health Care
ACN,Information Technology
ADBE,Information Technology
AMD,Information Technology
AES,Utilities
AFL,Financials
A,Health Care
APD,Materials
ABNB,Consumer Discretionary
AKAM,Information Technology
ALB,Materials
ARE,Real Estate
ALGN,Health Care
ALLE,Industrials
LNT,Utilities
ALL,Financials
GOOGL,Communication Services
GOOG,Communication Services
MO,Consumer Staples
AMZN,Consumer Discretionary
AMCR,Materials
AEE,Utilities
AAL,Industrials
AEP,Utilities
AXP,Financials
AIG,Financials
AMT,Real Estate
AWK,Utilities
AMP,Financials
AME,Industrials
AMGN,Health Care
APH,Information Technology
ADI,Information Technology
ANSS,Information Technology
AON,Financials
APA,Energy
AAPL,Information Technology
AMAT,Information Technology
APTV,Consumer Discretionary
ACGL,Financials
ADM,Consumer Staples
ANET,Information Technology
AJG,Financials
AIZ,Financials
T,Communication Services
ATO,Utilities
ADSK,Information Technology
ADP,Industrials
AZO,Consumer Discretionary
AVB,Real Estate
AVY,Materials
AXON,Industrials
BKR,Energy
BALL,Materials
BAC,Financials
BK,Financials
BBWI,Consumer Discretionary
BAX,Health Care
BDX,Health Care
BRK.B,Financials
BBY,Consumer Discretionary
BIO,Health Care
TECH,Health Care
BIIB,Health Care
BLK,Financials
BX,Financials
BA,Industrials
BKNG,Consumer Discretionary
BWA,Consumer Discretionary
BXP,Real Estate
BSX,Health Care
BMY,Health Care
AVGO,Information Technology
BR,Industrials
BRO,Financials
BF.B,Consumer Staples
BLDR,Industrials
BG,Consumer Staples
CDNS,Information Technology
CZR,Consumer Discretionary
CPT,Real Estate
CPB,Consumer Staples
COF,Financials
CAH,Health Care
KMX,Consumer Discretionary
CCL,Consumer Discretionary
CARR,Industrials
CTLT,Health Care
CAT,Industrials
CBOE,Financials
CBRE,Real Estate
CDW,Information Technology
CE,Materials
COR,Health Care
CNC,Health Care
CNP,Utilities
CF,Materials
CHRW,Industrials
CRL,Health Care
SCHW,Financials
CHTR,Communication Services
CVX,Energy
CMG,Consumer Discretionary
CB,Financials
CHD,Consumer Staples
CI,Health Care
CINF,Financials
CTAS,Industrials
CSCO,Information Technology
C,Financials
CFG,Financials
CLX,Consumer Staples
CME,Financials
CMS,Utilities
KO,Consumer Staples
CTSH,Information Technology
CL,Consumer Staples
CMCSA,Communication Services
CMA,Financials
CAG,Consumer Staples
COP,Energy
ED,Utilities
STZ,Consumer Staples
CEG,Utilities
COO,Health Care
CPRT,Industrials
GLW,Information Technology
CTVA,Materials
CSGP,Real Estate
COST,Consumer Staples
CTRA,Energy
CCI,Real Estate
CSX,Industrials
CMI,Industrials
CVS,Health Care
DHR,Health Care
DRI,Consumer Discretionary
DVA,Health Care
DAY,Industrials
DE,Industrials
DAL,Industrials
XRAY,Health Care
DVN,Energy
DXCM,Health Care
FANG,Energy
DLR,Real Estate
DFS,Financials
DG,Consumer Staples
DLTR,Consumer Staples
D,Utilities
DPZ,Consumer Discretionary
DOV,Industrials
DOW,Materials
DHI,Consumer Discretionary
DTE,Utilities
DUK,Utilities
DD,Materials
EMN,Materials
ETN,Industrials
EBAY,Consumer Discretionary
ECL,Materials
EIX,Utilities
EW,Health Care
EA,Communication Services
ELV,Health Care
LLY,Health Care
EMR,Industrials
ENPH,Information Technology
ETR,Utilities
EOG,Energy
EPAM,Information Technology
EQT,Energy
EFX,Industrials
EQIX,Real Estate
EQR,Real Estate
ESS,Real Estate
EL,Consumer Staples
ETSY,Consumer Discretionary
EG,Financials
EVRG,Utilities
ES,Utilities
EXC,Utilities
EXPE,Consumer Discretionary
EXPD,Industrials
EXR,Real Estate
XOM,Energy
FFIV,Information Technology
FDS,Financials
FICO,Information Technology
FAST,Industrials
FRT,Real Estate
FDX,Industrials
FIS,Financials
FITB,Financials
FSLR,Information Technology
FE,Utilities
FI,Financials
FLT,Financials
FMC,Materials
F,Consumer Discretionary
FTNT,Information Technology
FTV,Industrials
FOXA,Communication Services
FOX,Communication Services
BEN,Financials
FCX,Materials
GRMN,Consumer Discretionary
IT,Information Technology
GEHC,Health Care
GEN,Information Technology
GNRC,Industrials
GD,Industrials
GE,Industrials
GIS,Consumer Staples
GM,Consumer Discretionary
GPC,Consumer Discretionary
GILD,Health Care
GPN,Financials
GL,Financials
GS,Financials
HAL,Energy
HIG,Financials
HAS,Consumer Discretionary
HCA,Health Care
DOC,Real Estate
HSIC,Health Care
HSY,Consumer Staples
HES,Energy
HPE,Information Technology
HLT,Consumer Discretionary
HOLX,Health Care
HD,Consumer Discretionary
HON,Industrials
HRL,Consumer Staples
HST,Real Estate
HWM,Industrials
HPQ,Information Technology
HUBB,Industrials
HUM,Health Care
HBAN,Financials
HII,Industrials
IBM,Information Technology
IEX,Industrials
IDXX,Health Care
ITW,Industrials
ILMN,Health Care
INCY,Health Care
IR,Industrials
PODD,Health Care
INTC,Information Technology
ICE,Financials
IFF,Materials
IP,Materials
IPG,Communication Services
INTU,Information Technology
ISRG,Health Care
IVZ,Financials
INVH,Real Estate
IQV,Health Care
IRM,Real Estate
JBHT,Industrials
JBL,Information Technology
JKHY,Financials
J,Industrials
JNJ,Health Care
JCI,Industrials
JPM,Financials
JNPR,Information Technology
K,Consumer Staples
KVUE,Consumer Staples
KDP,Consumer Staples
KEY,Financials
KEYS,Information Technology
KMB,Consumer Staples
KIM,Real Estate
KMI,Energy
KLAC,Information Technology
KHC,Consumer Staples
KR,Consumer Staples
LHX,Industrials
LH,Health Care
LRCX,Information Technology
LW,Consumer Staples
LVS,Consumer Discretionary
LDOS,Industrials
LEN,Consumer Discretionary
LIN,Materials
LYV,Communication Services
LKQ,Consumer Discretionary
LMT,Industrials
L,Financials
LOW,Consumer Discretionary
LULU,Consumer Discretionary
LYB,Materials
MTB,Financials
MRO,Energy
MPC,Energy
MKTX,Financials
MAR,Consumer Discretionary
MMC,Financials
MLM,Materials
MAS,Industrials
MA,Financials
MTCH,Communication Services
MKC,Consumer Staples
MCD,Consumer Discretionary
MCK,Health Care
MDT,Health Care
MRK,Health Care
META,Communication Services
MET,Financials
MTD,Health Care
MGM,Consumer Discretionary
MCHP,Information Technology
MU,Information Technology
MSFT,Information Technology
MAA,Real Estate
MRNA,Health Care
MHK,Consumer Discretionary
MOH,Health Care
TAP,Consumer Staples
MDLZ,Consumer Staples
MPWR,Information Technology
MNST,Consumer Staples
MCO,Financials
MS,Financials
MOS,Materials
MSI,Information Technology
MSCI,Financials
NDAQ,Financials
NTAP,Information Technology
NFLX,Communication Services
NEM,Materials
NWSA,Communication Services
NWS,Communication Services
NEE,Utilities
NKE,Consumer Discretionary
NI,Utilities
NDSN,Industrials
NSC,Industrials
NTRS,Financials
NOC,Industrials
NCLH,Consumer Discretionary
NRG,Utilities
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NXPI,Information Technology
ORLY,Consumer Discretionary
OXY,Energy
ODFL,Industrials
OMC,Communication Services
ON,Information Technology
OKE,Energy
ORCL,Information Technology
OTIS,Industrials
PCAR,Industrials
PKG,Materials
PANW,Information Technology
PARA,Communication Services
PH,Industrials
PAYX,Industrials
PAYC,Industrials
PYPL,Financials
PNR,Industrials
PEP,Consumer Staples
PFE,Health Care
PCG,Utilities
PM,Consumer Staples
PSX,Energy
PNW,Utilities
PXD,Energy
PNC,Financials
POOL,Consumer Discretionary
PPG,Materials
PPL,Utilities
PFG,Financials
PG,Consumer Staples
PGR,Financials
PLD,Real Estate
PRU,Financials
PEG,Utilities
PTC,Information Technology
PSA,Real Estate
PHM,Consumer Discretionary
QRVO,Information Technology
PWR,Industrials
QCOM,Information Technology
DGX,Health Care
RL,Consumer Discretionary
RJF,Financials
RTX,Industrials
O,Real Estate
REG,Real Estate
REGN,Health Care
RF,Financials
RSG,Industrials
RMD,Health Care
RVTY,Health Care
RHI,Industrials
ROK,Industrials
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RCL,Consumer Discretionary
SPGI,Financials
CRM,Information Technology
SBAC,Real Estate
SLB,Energy
STX,Information Technology
SRE,Utilities
NOW,Information Technology
SHW,Materials
SPG,Real Estate
SWKS,Information Technology
SJM,Consumer Staples
SNA,Industrials
SO,Utilities
LUV,Industrials
SWK,Industrials
SBUX,Consumer Discretionary
STT,Financials
STLD,Materials
STE,Health Care
SYK,Health Care
SYF,Financials
SNPS,Information Technology
SYY,Consumer Staples
TMUS,Communication Services
TROW,Financials
TTWO,Communication Services
TPR,Consumer Discretionary
TRGP,Energy
TGT,Consumer Staples
TEL,Information Technology
TDY,Information Technology
TFX,Health Care
TER,Information Technology
TSLA,Consumer Discretionary
TXN,Information Technology
TXT,Industrials
TMO,Health Care
TJX,Consumer Discretionary
TSCO,Consumer Discretionary
TT,Industrials
TDG,Industrials
TRV,Financials
TRMB,Information Technology
TFC,Financials
TYL,Information Technology
TSN,Consumer Staples
USB,Financials
UBER,Industrials
UDR,Real Estate
ULTA,Consumer Discretionary
UNP,Industrials
UAL,Industrials
UPS,Industrials
URI,Industrials
UNH,Health Care
UHS,Health Care
VLO,Energy
VTR,Real Estate
VLTO,Industrials
VRSN,Information Technology
VRSK,Industrials
VZ,Communication Services
VRTX,Health Care
VFC,Consumer Discretionary
VTRS,Health Care
VICI,Real Estate
V,Financials
VMC,Materials
WRB,Financials
WAB,Industrials
WBA,Consumer Staples
WMT,Consumer Staples
DIS,Communication Services
WBD,Communication Services
WM,Industrials
WAT,Health Care
WEC,Utilities
WFC,Financials
WELL,Real Estate
WST,Health Care
WDC,Information Technology
WRK,Materials
WY,Real Estate
WHR,Consumer Discretionary
WMB,Energy
WTW,Financials
GWW,Industrials
WYNN,Consumer Discretionary
XEL,Utilities
XYL,Industrials
YUM,Consumer Discretionary
ZBRA,Information Technology
ZBH,Health Care
ZION,Financials
ZTS,Health Care
AA,Materials
ACHC,Health Care
ACM,Industrials
ADC,Real Estate
ADNT,Consumer Discretionary
AFG,Financials
AGCO,Industrials
AIRC,Real Estate
ALE,Utilities
ALGM,Information Technology
ALLY,Financials
ALTM,Materials
ALV,Consumer Discretionary
AM,Energy
AMED,Health Care
AMG,Financials
AMH,Real Estate
AMKR,Information Technology
AN,Consumer Discretionary
AR,Energy
ARMK,Consumer Discretionary
ARW,Information Technology
ARWR,Health Care
ASB,Financials
ASGN,Industrials
ASH,Materials
ATR,Materials
AVNT,Materials
AVT,Information Technology
AXTA,Materials
AYI,Industrials
AZPN,Information Technology
AZTA,Health Care
BC,Consumer Discretionary
BCO,Industrials
BDC,Information Technology
BERY,Materials
BHF,Financials
BJ,Consumer Staples
BKH,Utilities
BLD,Consumer Discretionary
BLKB,Information Technology
BRBR,Consumer Staples
BRKR,Health Care
BRX,Real Estate
BURL,Consumer Discretionary
BWXT,Industrials
BYD,Consumer Discretionary
CABO,Communication Services
CACI,Industrials
CADE,Financials
CALX,Information Technology
CAR,Industrials
CASY,Consumer Staples
CBSH,Financials
CBT,Materials
CC,Materials
CCK,Materials
CDP,Real Estate
CELH,Consumer Staples
CFR,Financials
CG,Financials
CGNX,Information Technology
CHDN,Consumer Discretionary
CHE,Health Care
CHH,Consumer Discretionary
CHK,Energy
CHRD,Energy
CHX,Energy
CIEN,Information Technology
CIVI,Energy
CLF,Materials
CLH,Industrials
CMC,Materials
CNM,Industrials
CNO,Financials
CNX,Energy
CNXC,Industrials
COHR,Information Technology
COKE,Consumer Staples
COLB,Financials
COLM,Consumer Discretionary
COTY,Consumer Staples
CPRI,Consumer Discretionary
CR,Industrials
CRI,Consumer Discretionary
CROX,Consumer Discretionary
CRUS,Information Technology
CSL,Industrials
CUBE,Real Estate
CUZ,Real Estate
CVLT,Information Technology
CW,Industrials
CXT,Information Technology
DAR,Consumer Staples
DBX,Information Technology
DCI,Industrials
DECK,Consumer Discretionary
DINO,Energy
DKS,Consumer Discretionary
DLB,Information Technology
DOCS,Health Care
DT,Information Technology
DTM,Energy
EEFT,Financials
EGP,Real Estate
EHC,Health Care
ELF,Consumer Staples
ELS,Real Estate
EME,Industrials
ENOV,Health Care
ENS,Industrials
EPR,Real Estate
EQH,Financials
ERIE,Financials
ESAB,Industrials
ESNT,Financials
ETRN,Energy
EVR,Financials
EWBC,Financials
EXEL,Health Care
EXLS,Industrials
EXP,Materials
EXPO,Industrials
FAF,Financials
FBIN,Industrials
FCFS,Financials
FCN,Industrials
FFIN,Financials
FHI,Financials
FHN,Financials
FIVE,Consumer Discretionary
FIX,Industrials
FLO,Consumer Staples
FLR,Industrials
FLS,Industrials
FNB,Financials
FND,Consumer Discretionary
FNF,Financials
FOXF,Consumer Discretionary
FR,Real Estate
FYBR,Communication Services
G,Industrials
GATX,Industrials
GBCI,Financials
GDDY,Information Technology
GEF,Materials
GGG,Industrials
GHC,Consumer Discretionary
GLPI,Real Estate
GME,Consumer Discretionary
GMED,Health Care
GNTX,Consumer Discretionary
GO,Consumer Staples
GPK,Materials
GPS,Consumer Discretionary
GT,Consumer Discretionary
GTLS,Industrials
GXO,Industrials
H,Consumer Discretionary
HAE,Health Care
HALO,Health Care
HELE,Consumer Discretionary
HGV,Consumer Discretionary
HLI,Financials
HOG,Consumer Discretionary
HOMB,Financials
HQY,Health Care
HR,Real Estate
HRB,Consumer Discretionary
HTZ,Industrials
HWC,Financials
HXL,Industrials
IART,Health Care
IBKR,Financials
IBOC,Financials
IDA,Utilities
INGR,Consumer Staples
IPGP,Information Technology
IRDM,Communication Services
IRT,Real Estate
ITT,Industrials
JAZZ,Health Care
JEF,Financials
JHG,Financials
JLL,Real Estate
JWN,Consumer Discretionary
KBH,Consumer Discretionary
KBR,Industrials
KD,Information Technology
KEX,Industrials
KMPR,Financials
KNF,Materials
KNSL,Financials
KNX,Industrials
KRC,Real Estate
KRG,Real Estate
LAD,Consumer Discretionary
LAMR,Real Estate
LANC,Consumer Staples
LEA,Consumer Discretionary
LECO,Industrials
LEG,Consumer Discretionary
LFUS,Information Technology
LII,Industrials
LITE,Information Technology
LIVN,Health Care
LNTH,Health Care
LNW,Consumer Discretionary
LOPE,Consumer Discretionary
LPX,Materials
LSCC ,Information Technology
LSTR,Industrials
M,Consumer Discretionary
MAN,Industrials
MANH,Information Technology
MASI,Health Care
MAT,Consumer Discretionary
MDU,Industrials
MEDP,Health Care
MIDD,Industrials
MKSI,Information Technology
MMS,Industrials
MORN,Financials
MP,Materials
MPW,Real Estate
MSA,Industrials
MSM,Industrials
MTDR,Energy
MTG,Financials
MTN,Consumer Discretionary
MTSI,Information Technology
MTZ,Industrials
MUR,Energy
MUSA,Consumer Discretionary
NARI,Health Care
NBIX,Health Care
NEOG,Health Care
NEU,Materials
NFG,Utilities
NJR,Utilities
NLY,Financials
NNN,Real Estate
NOV,Energy
NOVT,Information Technology
NSA,Real Estate
NSP,Industrials
NVST,Health Care
NVT,Industrials
NWE,Utilities
NXST,Communication Services
NYCB,Financials
NYT,Communication Services
OC,Industrials
